Variavel;Coeficiente
cat__sg_uf_21;2.3485419812297272
cat__sg_uf_12;-1.9633929610391097
cat__sg_uf_13;-1.7129797255535817
cat__sg_uf_32;-1.1920100773972901
cat__cs_gestant_3;0.9513015515260287
cat__sg_uf_11;0.7621650825370331
cat__sg_uf_29;0.7432442178807467
cat__cs_gestant_9;-0.6754040068387444
cat__sg_uf_22;0.6729784367057648
cat__cs_gestant_1;0.6542454290432511
cat__sg_uf_25;-0.5953130213815849
cat__sg_uf_35;-0.5742045765878779
cat__cs_escol_n_10;0.5706233270631682
cat__cs_gestant_5;-0.5333838003157143
cat__sg_uf_28;0.5226169962224261
cat__sg_uf_51;0.4816279122219763
cat__sg_uf_42;0.4763694977701777
num__dias_ate_notificacao;0.43879642786938255
cat__sg_uf_26;0.43094835062506426
cat__cs_gestant_2;0.4169991435749789
cat__cs_gestant_6;-0.40801750839140427
cat__sg_uf_43;0.40216768545387926
cat__sg_uf_23;-0.38094233115942344
cat__sg_uf_33;-0.3589701709800338
cat__sg_uf_31;-0.3349167428753318
cat__sg_uf_50;0.31408754804235745
cat__cs_escol_n_6;-0.2994059490729987
cat__sg_uf_41;-0.28152452769371294
cat__sg_uf_24;-0.2676712210416397
cat__cs_raca_5;0.25853132884396995
num__leucopenia;0.25795641684999515
cat__cs_sexo_F;0.23700358059608373
cat__sg_uf_15;0.23647923366708537
cat__sg_uf_52;0.2354505164465627
num__vomito;0.2299505796597847
cat__cs_sexo_M;0.20499934913213774
num__idade_anos;0.20160391468681055
cat__sg_uf_53;0.18097455794298403
num__cefaleia;-0.1586096830767796
cat__cs_escol_n_4;-0.1569664486229484
cat__cs_sexo_I;-0.1497143979731391
cat__cs_raca_9;0.14477079630062153
num__hipertensa;0.13104399288315643
cat__cs_raca_2;-0.12211898837168482
cat__sg_uf_27;0.11671789992975654
num__diabetes;0.10350056256645516
cat__cs_raca_1;0.10244940203087734
num__dor_costas;-0.09698745455464057
num__petequia_n;0.08576815307194538
cat__cs_escol_n_2;0.08324951488876488
num__auto_imune;0.07592883106122827
num__artrite;-0.0699174945632005
num__dor_retro;-0.06887000432415268
cat__cs_escol_n_0;0.0647162990485514
cat__cs_gestant_IGN;-0.0640256225613404
cat__cs_escol_n_9;-0.06189359878915965
cat__cs_escol_n_1;0.060512020004883274
num__renal;0.059191401106224305
num__mialgia;-0.05820820879580955
cat__cs_escol_n_5;-0.05434457828095131
cat__sg_uf_14;0.05011765181883966
cat__cs_gestant_4;-0.049426654281956965
num__laco;0.04845963170161595
cat__cs_raca_3;-0.04752231101888289
cat__cs_escol_n_7;0.046719109542648754
num__nausea;0.0450713532226287
num__hematolog;0.04396482618475205
cat__cs_raca_4;-0.043821696029806075
num__exantema;-0.035081579411398556
cat__cs_escol_n_IGN;0.03408120951041868
num__acido_pept;-0.027867803584656726
num__hepatopat;0.019077419365797734
cat__sg_uf_17;-0.014956324677024797
cat__cs_escol_n_3;0.011483192478290057
num__conjuntvit;-0.01118747107904292
num__febre;0.009549006849340399
cat__cs_escol_n_8;-0.006485566015562124
cat__sg_uf_16;-0.005317356352678536
num__artralgia;0.0014103391144207919
