alpha;r2;mae;rmse
0.01;0.5090904298963884;0.8577418150693819;1.25817878640914
0.05;0.5097627557648096;0.856805078100815;1.2573169209829878
0.1;0.5104993150448344;0.855648605505906;1.2563720350425216
1.0;0.5121035612989815;0.8399038747796697;1.2543115841742392
10.0;0.4418027868997835;0.864234278526788;1.3416382797317545
50.0;0.38197223167281447;0.9185440040889934;1.4117103653003538
100.0;0.36376973359804043;0.9264600578275374;1.4323487447858965
