modelo;r2;mae;rmse
Linear simples individual;0.006039691364655986;2.1068595156421552;3.1667602727777013
Linear multipla individual;0.07209658747997016;2.039586475182555;3.0597225896823823
Ridge individual;0.07245399531796448;2.0390655954687382;3.0591332642494806
Ridge agregado UF/semana;0.5121035612989815;0.8399038747796697;1.2543115841742392
